title,summary,source_url,verified
Entertainment Crowds Out Civic Attention,"Citizens are too busy consuming entertainment to pay attention to neighborhood issues, kids' activities, or their government; outreach across multiple mediums still meets 'I don't have time'.",https://theupskillinglabs.org/survey/civics/results#r-37,false
Complacency & Candidate Deterrence,"The average citizen doesn't feel they can make a difference, and good people stay away from political office because media can form any narrative it wants about them.",https://theupskillinglabs.org/survey/civics/results#r-38,false
Calls for Stricter Ballot ID,A demand that in-person voting require Real ID and that mail-in ballots require verified identification — described by the submitter as widely supported yet repeatedly rejected.,https://theupskillinglabs.org/survey/civics/results#r-39,false
Women Still Under-Represented,"Women remain under-represented in political leadership, even as women run for the highest offices.",https://theupskillinglabs.org/survey/civics/results#r-40,false
Student Technology Access Gap,"Students lack access to equipment for training, and school technology funding isn't keeping up; grassroots fundraisers and lobbying for federal funding only go so far.",https://theupskillinglabs.org/survey/civics/results#r-41,false
Mid-Decade Redistricting Shifts,"California, Missouri, North Carolina, and Texas will use different congressional maps in 2026 than in 2024 due to voluntary mid-decade redistricting — unusual, and worth watching for how it shifts competitive-district counts.",https://theupskillinglabs.org/survey/civics/results#r-42,false
Accountability for Public Lies,Telling the truth — and holding liars accountable and responsible — is named as the missing piece of civic life.,https://theupskillinglabs.org/survey/civics/results#r-43,false
Cross-Agency Coordination Failure,"Constituent problems take years to solve because coordinating local, federal, and neighboring-state agencies, private entities, and residents is nearly impossible — stakeholders claim jurisdiction for credit and duck it for problem-solving, at great cost to unpaid commissioners.",https://theupskillinglabs.org/survey/civics/results#r-44,false
Sidewalks vs. Micromobility,"DC sidewalks are increasingly dangerous for elderly, young, and disabled pedestrians as motorized bikes and scooters — often ridden illegally — collide with the city's walkability promise; other cities' regulations may hold lessons.",https://theupskillinglabs.org/survey/civics/results#r-45,false
Representatives Without Accountability,"Representatives don't seem to answer to the people, and replacing them changes little — new reps inherit the same voting patterns, with the two-party system and polarization at the crux.",https://theupskillinglabs.org/survey/civics/results#r-46,false
Last-Mile Resource Disconnect,"Programs, grants, and services exist on paper, but communities often don't know about them or can't navigate them — the gap is grassroots outreach, trusted local partners, and hands-on navigation support, not new programs.",https://theupskillinglabs.org/survey/civics/results#r-47,false
Campus–Neighborhood Disconnection,"There is no single, easy channel for a university community and its neighbors to trade information and opportunities — student jobs, local events, programs, and campus resources live in scattered slices.",https://theupskillinglabs.org/survey/civics/results#r-48,false
voter literacy,Why do ads have such a strong effect? Why does money in elections work?,,true
$ in politics,"Entrenched actors (AIPAC), ideological. New actors (crypto, AI companies)",,true
voter literacy,Why do ads have such a strong effect? Why does money in elections work?,,true
People Unfamiliar with Issues,People unfamiliar with different issues and not motivated to learn,,true
Time Limitations,Time limited to dedicate to participate in events,,true
Personal Bias,Bias towards personal experience,,true
Local Focus Limitations,Local focus limits who will engage (ex. DC Statehood),,true
Information Verification & Truth,"Verification of information. People don't know #Truth... Facts vs. Fiction, what to believe",,true
Limited Community Awareness,Limited awareness regarding the harm and needs in a community,,true
Low Voter Participation,Low voter participation,,true
Low Literacy Levels,Low literacy levels and people not able to read deeply,,true
Fear Preventing Action,Fear prevents action when consequences are personal,,true
Social Media & Negative Messaging,Social media scales the speed in which negative messages spread ie. public shaming or dehumanizing groups,,true
People Unfamiliar with Issues,People unfamiliar with different issues and not motivated to learn,,true
Time Limitations,Time limited to dedicate to participate in events,,true
Personal Bias,Bias towards personal experience,,true
Local Focus Limitations,Local focus limits who will engage (ex. DC Statehood),,true
Information Verification & Truth,"Verification of information. People don't know #Truth... Facts vs. Fiction, what to believe",,true
Limited Community Awareness,Limited awareness regarding the harm and needs in a community,,true
Low Voter Participation,Low voter participation,,true
Low Literacy Levels,Low literacy levels and people not able to read deeply,,true
Fear Preventing Action,Fear prevents action when consequences are personal,,true
Social Media & Negative Messaging,Social media scales the speed in which negative messages spread ie. public shaming or dehumanizing groups,,true
